baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00014853-RA	1.30772169814898	-18.7484629761429	2.47928843382495	-7.32607901861623	2.3698409323229e-13	1.00073073608631e-12
Sm_t00007606-RA	1006.36755894409	-15.3845586597811	1.24691426152342	-11.8689464997375	1.71615065649307e-32	1.59091296635293e-31
Sm_t00020479-RA	174.804702448283	-13.0177267608873	1.23394064753493	-10.0756278559462	7.08071023836048e-24	4.83244928309531e-23
Sm_t00014961-RA	543.07957032397	-12.8495408203893	1.20082290435115	-10.2134467754979	1.72621537912324e-24	1.20281438382493e-23
Sm_t00015502-RA	263.41626828039	-12.8231888922663	1.22299501280509	-10.0067365476794	1.42371607284326e-23	9.59677508766979e-23
Sm_t00006825-RA	204.297720701186	-12.6042659249474	1.28517265318512	-9.35225776486866	8.57963791072689e-21	5.11938535335134e-20
Sm_t00018098-RA	189.677022229971	-12.4995779965497	1.28634129800454	-9.26237695628089	1.99930939321358e-20	1.17680781442853e-19
Sm_t00011804-RA	86.05415043297	-11.6680608192057	1.29774863775619	-8.54022150111319	1.33964790656287e-17	6.90650241089579e-17
Sm_t00016364-RA	415.0172065862	-11.6612587929971	0.9216413021877	-12.0179713807371	2.85904532778008e-33	2.72954265490486e-32
Sm_t00012494-RA	354.366407418798	-11.5873624961154	0.980900943610908	-11.216588757284	3.38060452997817e-29	2.79861867928725e-28
Sm_t00004446-RA	46.0383328645932	-11.0487130626215	1.27918232710745	-8.18000127181442	2.83840877530454e-16	1.38336712989102e-15
Sm_t00008706-RA	80.4089216884927	-11.0420595437507	1.22555391685904	-8.53251692961087	1.43197587792491e-17	7.36904440550123e-17
Sm_t00015501-RA	497.35803266951	-10.9643692130293	0.651735177554321	-15.9257464849121	4.19971509838135e-57	8.05983828507026e-56
Sm_t00009812-RA	1203.95903724254	-10.9503380603158	0.47478606301832	-21.8315971501375	1.16285803395641e-105	6.54677483170276e-104
Sm_t00004451-RA	69.7597368819829	-10.8888104959353	1.28022686579346	-8.04842545586573	8.38659650378423e-16	4.00448758391455e-15
Sm_t00000706-RA	148.716315903089	-10.8636534178313	1.14022012378028	-9.01462200452442	1.97550546303419e-19	1.10850713829727e-18
Sm_t00006417-RA	52.9913429502411	-10.8340513917571	1.28238816888786	-7.99215997184809	1.32594826833268e-15	6.27114690347907e-15
Sm_t00007071-RA	165.365275522965	-10.7839920080204	1.11295432850357	-9.1638908684901	5.00590877055662e-20	2.89621474994375e-19
Sm_t00009914-RA	47.2976423639502	-10.763707331781	1.25038891283575	-8.14043313027843	3.93866322362694e-16	1.9102629361071e-15
Sm_t00015642-RA	415.845259937197	-10.7122430018943	0.841132226008756	-12.0400130785013	2.1892093888568e-33	2.09951003415774e-32
Sm_t00014125-RA	340.080371175671	-10.6727375849515	1.29330335965605	-7.7999778703384	6.19180325476616e-15	2.83507965293886e-14
Sm_t00006415-RA	74.4939872881309	-10.6601707074387	1.24501471496731	-8.09241094608531	5.84951669954149e-16	2.80889515416351e-15
Sm_t00002462-RA	48.580182641399	-10.6347352635297	1.25935138272611	-7.98008832274838	1.46228617289903e-15	6.9005573617229e-15
Sm_t00008496-RA	268.365640942693	-10.6172868081369	0.841348257635691	-11.9240596472251	8.86796814089499e-33	8.30257392903903e-32
Sm_t00015656-RA	141.171644558328	-10.610912112913	1.06764163762007	-9.39070916647859	5.95976190782259e-21	3.5800824278611e-20
Sm_t00006828-RA	71.471846939167	-10.5420524015679	1.2544071641426	-7.93765587936003	2.0603802368565e-15	9.65842420297932e-15
Sm_t00018472-RA	126.212388549326	-10.5257281119633	1.07072959020082	-9.28406966888708	1.63125988528219e-20	9.63853905717994e-20
Sm_t00006558-RA	149.598202588652	-10.4555878865748	1.69615188261041	-5.81940095564069	5.90589072829207e-09	1.94862196810042e-08
Sm_t00004753-RA	133.773204604925	-10.4482456862467	1.15785764758093	-8.51853050057889	1.61590484599718e-17	8.29540245994193e-17
Sm_t00006768-RA	41.2495275480437	-10.4063951586753	2.41787048825466	-4.06200216528753	4.86536257480226e-05	0.000123112489461847
Sm_t00005241-RA	78.0543907015791	-10.4005448880209	1.23469711151856	-7.94975933486122	1.86874192653677e-15	8.781946945949e-15
Sm_t00008500-RA	115.637514939519	-10.3615164183931	1.08467983779447	-9.01327385071721	1.99995078768991e-19	1.12148133845775e-18
Sm_t00008781-RA	488.630073260819	-10.2664951577751	0.549499615413516	-17.6187478320425	1.76876759239114e-69	4.64705978614887e-68
Sm_t00016365-RA	25.4777601404362	-10.2586230747092	1.2884882070273	-7.50773117049117	6.01608873090815e-14	2.62011410007632e-13
Sm_t00002360-RA	1952.42590148577	-10.2545371338005	0.33308941200257	-29.0298544035554	2.76411255339714e-185	6.50564601803721e-183
Sm_t00012004-RA	36.0271171304821	-10.2515339536774	1.32502453749356	-7.29536222171612	2.97856641969095e-13	1.25403196392753e-12
Sm_t00015530-RA	21.7980155339934	-10.0677247054671	1.34925615130785	-7.02811300602583	2.09345322558809e-12	8.44256505492999e-12
Sm_t00009994-RA	457.945136165736	-9.96713437581082	0.519276994729064	-18.0676873249623	5.72643093338233e-73	1.66449568777182e-71
Sm_t00014816-RA	2170.1144920852	-9.96134069543108	0.475033507385618	-19.7382722474346	1.01178996983708e-86	4.0154081566415e-85
Sm_t00004449-RA	165.531461358008	-9.95134082505158	0.740218892196703	-12.6534744300509	1.0703455466315e-36	1.14943445077424e-35
Sm_t00008499-RA	400.156345409674	-9.94502855669481	0.584393016284718	-16.0166673725864	9.77508147990696e-58	1.91059435707616e-56
Sm_t00010451-RA	236.0514180897	-9.94168355864748	0.748489649845171	-12.5007520953469	7.39483485298629e-36	7.69262562422994e-35
Sm_t00012482-RA	55.6061084433663	-9.92216546181725	1.32824094754334	-7.0297226411269	2.06944492540209e-12	8.34971754901521e-12
Sm_t00011757-RA	417.844891923071	-9.8589095724495	0.526425445678087	-17.6167577927465	1.8320861478393e-69	4.80596468440941e-68
Sm_t00005244-RA	27.4594712475234	-9.85417480690968	1.36751914792206	-6.77809507895678	1.21770707917158e-11	4.7069489424365e-11
Sm_t00011540-RA	193.762865479511	-9.85071360061144	0.711088893184696	-13.0303168695462	8.22653041524877e-39	9.52232133994575e-38
Sm_t00004552-RA	42.140408285621	-9.84884301460667	1.2241087579844	-7.56782675900495	3.79519638217529e-14	1.66961053718438e-13
Sm_t00004452-RA	148.491248328824	-9.84824312341377	0.879898891466807	-10.5276222225622	6.44417092935825e-26	4.71108371738157e-25
Sm_t00018097-RA	691.458670900055	-9.84230551658083	0.408736950855816	-22.6485652867886	1.4412817262721e-113	9.615732335987e-112
Sm_t00008693-RA	86.887402038614	-9.83541601517465	1.10276405364702	-8.38839095687059	4.92840895101865e-17	2.48784087232535e-16
Sm_t00003637-RA	232.044491603314	-9.82549605880081	0.692975066950915	-13.3345289022575	1.45772643745746e-40	1.77206830768681e-39
Sm_t00015514-RA	8040.00323887161	-9.79024481351686	0.306380035089162	-30.0451849313157	2.52358661209655e-198	6.6819841763419e-196
Sm_t00007672-RA	1176.50406910014	-9.77628003311494	0.332390154570654	-27.6520826707014	2.63441632406943e-168	4.65029364871673e-166
Sm_t00012560-RA	18.4541309203855	-9.7652743944275	1.32694570003573	-6.91834970653303	4.56935203878761e-12	1.80831946868974e-11
Sm_t00004660-RA	173.182621220875	-9.76313455349379	0.771614234103368	-11.8947190809135	1.26076529094673e-32	1.17454252998259e-31
Sm_t00005136-RA	2053.04473180462	-9.75952808521119	0.277448710536743	-33.0674742278039	8.72543624879608e-240	5.09866354041719e-237
Sm_t00001825-RA	244.766195469079	-9.74729525347182	0.634313131779399	-14.4444357123262	2.71773941425672e-47	4.05769269726823e-46
Sm_t00000227-RA	714.453973370897	-9.71870416196059	0.699329812206159	-13.0606532176095	5.52516494753755e-39	6.43059376380298e-38
Sm_t00019177-RA	23.7767065639963	-9.7173803892819	3.38737712894136	-2.69600343913758	0.00701769421444848	0.0144638586910781
Sm_t00011558-RA	378.036997849175	-9.69436080577416	0.508491327814034	-17.9144860639701	9.0904841086172e-72	2.55045271034151e-70
