baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00001642-RA	1.33386556079285	-29.6221507901506	6.27810294269252	-4.6251472865619	3.74332304054457e-06	0.000243932544959722
Sm_t00015713-RA	0.834459910974846	-17.9966869886186	3.84140753872556	-4.53263206600443	5.82532322581954e-06	0.000366664378952437
Sm_t00014853-RA	1.30772169814898	-17.1964444221655	2.78691993782151	-5.96050291819665	2.51462812879812e-09	2.88176383560265e-07
Sm_t00009781-RA	20.8056304729671	-9.99234278800755	1.37069357290073	-6.86319902128034	6.73353103597816e-12	1.19033069388137e-09
Sm_t00011867-RA	38.1292377268073	-8.79791020063427	1.18349878010565	-6.93951725062285	3.93442078392888e-12	7.34587305242091e-10
Sm_t00022457-RA	1071.66193989869	-7.66802346762762	0.392371875081758	-18.0518123684368	7.63439672684005e-73	1.26860770409901e-68
Sm_t00000380-RA	370.531098785436	-7.47908305471691	0.435224132121087	-15.8403051345482	1.64022982267731e-56	9.08523298780964e-53
Sm_t00000576-RA	337.375134431322	-6.9929032611889	0.650079731818797	-9.85710359444807	6.38651039715116e-23	4.61411492475917e-20
Sm_t00014472-RA	154.385425962186	-6.65577033296285	0.459472825137769	-13.212468726834	7.43454870138233e-40	1.76485565386957e-36
Sm_t00020491-RA	174.064738998583	-6.50518506427205	0.673658898117934	-8.78810490117749	1.52103912428049e-18	6.65134398109707e-16
Sm_t00001541-RA	63.2275026816197	-6.37085686735376	0.618999039789634	-9.34711767779168	9.00687132759503e-21	4.82797357582731e-18
Sm_t00011868-RA	42.2504706710802	-6.34302628062396	1.00377896628148	-5.73634881188506	9.67393255360163e-09	1.02389641556177e-06
Sm_t00016355-RA	528.685614311022	-6.16888643183245	0.360593311690819	-15.4852745483538	4.36196465458971e-54	1.81206916663293e-50
Sm_t00005340-RA	86.2404425273354	-6.14188426477509	1.25544398728597	-4.42623033847013	9.58941271856853e-06	0.00058155938373888
Sm_t00006433-RA	24.5811300579447	-6.09296469708931	0.843109081248929	-6.53292061441227	6.44993363096515e-11	9.83289423355485e-09
Sm_t00018147-RA	903.428560476334	-5.97771641639056	0.536260104747336	-10.0561581379085	8.63006574124261e-24	6.82884773439183e-21
Sm_t00001748-RA	109.02662850857	-5.8815643480251	0.536010301715217	-9.88145998514627	5.00976138058016e-23	3.78396385732275e-20
Sm_t00000820-RA	436.85566604956	-5.78760935754729	0.379624794395886	-13.7046089569214	9.52792390050371e-43	2.6387585242445e-39
Sm_t00014890-RA	55.0509715742717	-5.62933320212523	1.27556334815666	-3.95459246254988	7.66652192569737e-05	0.0036607642195205
Sm_t00001325-RA	11.2702823323328	-5.17271572145138	1.0110805219121	-4.53743853434674	5.69416190333425e-06	0.00035977143858443
Sm_t00018125-RA	32.9221182125308	-5.07353286584544	0.641195989678235	-7.00025099673171	2.55504354389707e-12	4.93687890336484e-10
Sm_t00022558-RA	413.895706877722	-5.02210553957302	0.434606990203741	-10.2094665746009	1.79850840249824e-24	1.57293758549017e-21
Sm_t00009590-RA	72.7235536320365	-5.02042359064037	1.12334371325582	-3.94841181581465	7.86713854324987e-05	0.00373509260494809
Sm_t00011733-RA	2036.95168495693	-4.95873083467905	0.357901903509915	-12.2204737996256	2.41672077378906e-34	4.01586490980528e-31
Sm_t00010228-RA	6.88905776210836	-4.78809035057567	1.27095946314374	-3.3070215632049	0.000942936332700327	0.0326432771676695
Sm_t00012269-RA	761.508690943799	-4.76578843013961	0.395029736582518	-10.5834777561519	3.55512244546587e-26	3.47502762801802e-23
Sm_t00006493-RA	32.7836977461111	-4.71798983465432	0.609221753949772	-6.78404834997909	1.16854192526933e-11	1.98139399716331e-09
Sm_t00020278-RA	81.4733164337629	-4.70544299316749	0.426890133049544	-9.65223291466726	4.80968483721001e-22	2.96009381258958e-19
Sm_t00018477-RA	90.8274178226087	-4.67813520085923	0.963473682764367	-4.24831033175223	2.15388891928546e-05	0.0011970291696243
Sm_t00003506-RA	87.1015432361134	-4.59185662183796	0.474628149787028	-8.44209645727059	3.11695970471044e-17	1.12685948195727e-14
Sm_t00018124-RA	13.8296058956507	-4.55293319279694	1.03745179958279	-3.82469160918379	0.000130935880417868	0.00582271275923653
Sm_t00007038-RA	73.4235925145313	-4.48640471196732	0.59784616625783	-6.52576688145021	6.76544757134403e-11	1.01280578642364e-08
