Sm_mito_g00001
Sm_mito_g00002	NA	NA	NA	NA	-3.71250851841902	NA
Sm_mito_g00003
Sm_mito_g00004
Sm_mito_g00007
Sm_mito_g00008	NA	NA	NA	NA	-4.5640984961516	NA
Sm_mito_g00009
Sm_mito_g00010
Sm_mito_g00011
Sm_mito_g00015
Sm_mito_g00016
Sm_mito_g00018
Sm_mito_g00020
Sm_mito_g00021
Sm_mito_g00022
Sm_mito_g00023
Sm_mito_g00024
Sm_mito_g00025
Sm_mito_g00028
Sm_mito_g00031
Sm_mito_g00032
Sm_mito_g00035
Sm_mito_g00036
Sm_mito_g00038
Sm_mito_g00039
Sm_mito_g00042
Sm_mito_g00045
Sm_mito_g00046
Sm_mito_g00047
Sm_mito_g00048
Sm_mito_g00050
Sm_mito_g00051
Sm_mito_g00052
Sm_mito_g00055
Sm_mito_g00056
Sm_mito_g00057
Sm_mito_g00058
Sm_mito_g00059
Sm_mito_g00064
Sm_plastid_g00001	-3.08731637743779	-2.18764602199617	-2.78105119295949	-2.80220720081339	-5.1279721843044	-6.58559674516872
Sm_plastid_g00002
Sm_plastid_g00004
Sm_plastid_g00005
Sm_plastid_g00008
Sm_plastid_g00009	2.99472232097417	NA	NA	2.47697817782506	NA	NA
Sm_plastid_g00010
Sm_plastid_g00011
Sm_plastid_g00012
Sm_plastid_g00013
Sm_plastid_g00014
Sm_plastid_g00015
Sm_plastid_g00016
Sm_plastid_g00017
Sm_plastid_g00018
Sm_plastid_g00019
Sm_plastid_g00020
Sm_plastid_g00021
Sm_plastid_g00022
Sm_plastid_g00023
Sm_plastid_g00024
Sm_plastid_g00025
Sm_plastid_g00026
Sm_plastid_g00027
Sm_plastid_g00028
Sm_plastid_g00029
Sm_plastid_g00030
Sm_plastid_g00031
Sm_plastid_g00032
Sm_plastid_g00033
Sm_plastid_g00034
Sm_plastid_g00035
Sm_plastid_g00036
Sm_plastid_g00037	NA	NA	NA	NA	-2.85204836222579	NA
Sm_plastid_g00038
Sm_plastid_g00039
Sm_plastid_g00042
Sm_plastid_g00043
Sm_plastid_g00045
Sm_plastid_g00046	NA	-3.42024596294763	-3.46443385411756	-5.56248107607944	-4.71638477827436	-5.4041004486861
Sm_plastid_g00047	NA	NA	NA	NA	-5.61437444341129	NA
Sm_plastid_g00048	NA	NA	NA	NA	-4.63831351802354	NA
Sm_plastid_g00049	NA	NA	-1.18528842099373	-1.28849187802042	-1.47961053799411	NA
Sm_plastid_g00050
Sm_plastid_g00051
Sm_plastid_g00052	3.20954423181943	2.06980809033314	NA	NA	2.24141718421505	NA
