QTG54_000161	Sm_t00000165-RA
QTG54_000162	Sm_t00000166-RA
QTG54_000163	Sm_t00000167-RA
QTG54_000164	Sm_t00000168-RA
QTG54_000165	Sm_t00000169-RA
QTG54_000166	Sm_t00000170-RA
QTG54_000167	Sm_t00000171-RA
QTG54_000168	Sm_t00000172-RA
QTG54_000169	Sm_t00000173-RA
QTG54_000170	Sm_t00000174-RA
QTG54_000171	Sm_t00000175-RA
QTG54_000172	Sm_t00000176-RA
QTG54_000173	Sm_t00000177-RA
QTG54_000174	Sm_t00000178-RA
QTG54_000175	Sm_t00000179-RA
QTG54_000176	Sm_t00000180-RA
QTG54_000177	Sm_t00000181-RA
QTG54_000178	Sm_t00000182-RA
QTG54_000179	Sm_t00000183-RA
QTG54_000180	Sm_t00000184-RA
QTG54_000181	Sm_t00000185-RA
QTG54_000182	Sm_t00000186-RA
QTG54_000183	Sm_t00000187-RA
QTG54_000184	Sm_t00000188-RA
QTG54_000185	Sm_t00000189-RA
QTG54_000186	Sm_t00000190-RA
QTG54_000187	Sm_t00000191-RA
QTG54_000188	Sm_t00000192-RA
QTG54_000189	Sm_t00000193-RA
QTG54_000190	Sm_t00000194-RA
QTG54_000191	Sm_t00000195-RA
QTG54_000192	Sm_t00000196-RA
QTG54_000193	Sm_t00000197-RA
QTG54_000194	Sm_t00000198-RA
QTG54_000195	Sm_t00000199-RA
QTG54_000196	Sm_t00000200-RA
QTG54_000197	Sm_t00000201-RA
QTG54_000198	Sm_t00000202-RA
QTG54_000199	Sm_t00000203-RA
QTG54_000200	Sm_t00000204-RA
QTG54_000201	Sm_t00000205-RA
QTG54_000202	Sm_t00000206-RA
QTG54_000203	Sm_t00000207-RA
QTG54_000204	Sm_t00000208-RA
QTG54_000205	Sm_t00000209-RA
QTG54_000206	Sm_t00000210-RA
QTG54_000207	Sm_t00000211-RA
QTG54_000208	Sm_t00000212-RA
QTG54_000209	Sm_t00000213-RA
QTG54_000210	Sm_t00000214-RA
QTG54_000211	Sm_t00000215-RA
QTG54_000212	Sm_t00000216-RA
QTG54_000213	Sm_t00000217-RA
QTG54_000214	Sm_t00000218-RA
QTG54_000215	Sm_t00000219-RA
QTG54_000216	Sm_t00000220-RA
QTG54_000217	Sm_t00000221-RA
QTG54_000218	Sm_t00000222-RA
QTG54_000219	Sm_t00000223-RA
QTG54_000220	Sm_t00000224-RA
QTG54_000221	Sm_t00000225-RA
QTG54_000222	Sm_t00000226-RA
QTG54_000223	Sm_t00000227-RA
QTG54_000224	Sm_t00000228-RA
QTG54_000225	Sm_t00000229-RA
QTG54_000226	Sm_t00000230-RA
QTG54_000227	Sm_t00000231-RA
QTG54_000228	Sm_t00000232-RA
QTG54_000229	Sm_t00000233-RA
QTG54_000230	Sm_t00000234-RA
QTG54_000231	Sm_t00022476-RA
QTG54_000232	Sm_t00022477-RA
QTG54_000233	Sm_t00000235-RA
QTG54_000234	Sm_t00000236-RA
QTG54_000235	Sm_t00000237-RA
QTG54_000236	Sm_t00000238-RA
QTG54_000237	Sm_t00000239-RA
QTG54_000238	Sm_t00000240-RA
QTG54_000239	Sm_t00000241-RA
QTG54_000240	Sm_t00000242-RA
QTG54_000241	Sm_t00000243-RA
QTG54_000242	Sm_t00000244-RA
QTG54_000243	Sm_t00000245-RA
QTG54_000244	Sm_t00000246-RA
QTG54_000245	Sm_t00000247-RA
QTG54_000246	Sm_t00000248-RA
QTG54_000247	Sm_t00000249-RA
QTG54_000248	Sm_t00000250-RA
QTG54_000249	Sm_t00000251-RA
QTG54_000250	Sm_t00000252-RA
QTG54_000251	Sm_t00000253-RA
QTG54_000252	Sm_t00000254-RA
QTG54_000253	Sm_t00000255-RA
QTG54_000254	Sm_t00000256-RA
QTG54_000255	Sm_t00000257-RA
QTG54_000256	Sm_t00000258-RA
QTG54_000257	Sm_t00000259-RA
QTG54_000258	Sm_t00000260-RA
QTG54_000259	Sm_t00000261-RA
QTG54_000260	Sm_t00000262-RA
QTG54_000261	Sm_t00000263-RA
QTG54_000262	Sm_t00000264-RA
QTG54_000263	Sm_t00000265-RA
QTG54_000264	Sm_t00000266-RA
QTG54_000265	Sm_t00000267-RA
QTG54_000266	Sm_t00000268-RA
QTG54_000267	Sm_t00000269-RA
QTG54_000268	Sm_t00000270-RA
QTG54_000269	Sm_t00000271-RA
QTG54_000270	Sm_t00000272-RA
QTG54_000271	Sm_t00000273-RA
QTG54_000272	Sm_t00000274-RA
QTG54_000273	Sm_t00000275-RA
QTG54_000274	Sm_t00000276-RA
QTG54_000275	Sm_t00000277-RA
QTG54_000276	Sm_t00000278-RA
QTG54_000277	Sm_t00000279-RA
QTG54_000278	Sm_t00000280-RA
QTG54_000279	Sm_t00000281-RA
QTG54_000280	Sm_t00000282-RA
QTG54_000281	Sm_t00000283-RA
QTG54_000282	Sm_t00000284-RA
QTG54_000283	Sm_t00000285-RA
QTG54_000284	Sm_t00000286-RA
QTG54_000285	Sm_t00000288-RA
QTG54_000286	Sm_t00000289-RA
QTG54_000287	Sm_t00000290-RA
QTG54_000288	Sm_t00000291-RA
QTG54_000289	Sm_t00000292-RA
QTG54_000290	Sm_t00000293-RA
QTG54_000291	Sm_t00000294-RA
QTG54_000292	Sm_t00000295-RA
QTG54_000293	Sm_t00000296-RA
QTG54_000294	Sm_t00000297-RA
QTG54_000295	Sm_t00000298-RA
QTG54_000296	Sm_t00000299-RA
QTG54_000297	Sm_t00000300-RA
QTG54_000298	Sm_t00000301-RA
QTG54_000299	Sm_t00000302-RA
QTG54_000300	Sm_t00000303-RA
QTG54_000301	Sm_t00000304-RA
QTG54_000302	Sm_t00000305-RA
QTG54_000303	Sm_t00000306-RA
QTG54_000304	Sm_t00000307-RA
QTG54_000305	Sm_t00000308-RA
QTG54_000306	Sm_t00000309-RA
QTG54_000307	Sm_t00000310-RA
QTG54_000308	Sm_t00000311-RA
QTG54_000309	Sm_t00000312-RA
QTG54_000310	Sm_t00000313-RA
QTG54_000311	Sm_t00000314-RA
QTG54_000312	Sm_t00000315-RA
QTG54_000313	Sm_t00000316-RA
QTG54_000314	Sm_t00000317-RA
QTG54_000315	Sm_t00000318-RA
QTG54_000316	Sm_t00000319-RA
QTG54_000317	Sm_t00000320-RA
QTG54_000318	Sm_t00000321-RA
QTG54_000319	Sm_t00000322-RA
QTG54_000320	Sm_t00000323-RA
QTG54_000321	Sm_t00000324-RA
QTG54_000322	Sm_t00000325-RA
QTG54_000323	Sm_t00000326-RA
QTG54_000324	Sm_t00000327-RA
QTG54_000325	Sm_t00000328-RA
QTG54_000326	Sm_t00000329-RA
QTG54_000327	Sm_t00000330-RA
QTG54_000328	Sm_t00000331-RA
QTG54_000329	Sm_t00000332-RA
QTG54_000330	Sm_t00000333-RA
QTG54_000331	Sm_t00000334-RA
QTG54_000332	Sm_t00000335-RA
QTG54_000333	Sm_t00000336-RA
QTG54_000334	Sm_t00000337-RA
QTG54_000335	Sm_t00000338-RA
QTG54_000336	Sm_t00000339-RA
QTG54_000337	Sm_t00000340-RA
QTG54_000338	Sm_t00000341-RA
QTG54_000339	Sm_t00000342-RA
QTG54_000340	Sm_t00000343-RA
QTG54_000341	Sm_t00000344-RA
QTG54_000342	Sm_t00000345-RA
QTG54_000343	Sm_t00000346-RA
QTG54_000344	Sm_t00000347-RA
QTG54_000345	Sm_t00000348-RA
QTG54_000346	Sm_t00000349-RA
QTG54_000347	Sm_t00000350-RA
QTG54_000348	Sm_t00000351-RA
QTG54_000349	Sm_t00000352-RA
QTG54_000350	Sm_t00000353-RA
QTG54_000351	Sm_t00000354-RA
QTG54_000352	Sm_t00000355-RA
QTG54_000353	Sm_t00000356-RA
QTG54_000354	Sm_t00000357-RA
QTG54_000355	Sm_t00000358-RA
QTG54_000356	Sm_t00000359-RA
QTG54_000357	Sm_t00000360-RA
QTG54_000358	Sm_t00000361-RA
QTG54_000359	Sm_t00000362-RA
QTG54_000360	Sm_t00000363-RA
QTG54_000361	Sm_t00000364-RA
QTG54_000362	Sm_t00000365-RA
QTG54_000363	Sm_t00000366-RA
QTG54_000364	Sm_t00000367-RA
QTG54_000365	Sm_t00000368-RA
QTG54_000366	Sm_t00000369-RA
QTG54_000367	Sm_t00000370-RA
QTG54_000368	Sm_t00000371-RA
QTG54_000369	Sm_t00000372-RA
QTG54_000370	Sm_t00000373-RA
QTG54_000371	Sm_t00000374-RA
QTG54_000372	Sm_t00000375-RA
QTG54_000373	Sm_t00000376-RA
QTG54_000374	Sm_t00000377-RA
QTG54_000375	Sm_t00000378-RA
QTG54_000376	Sm_t00000379-RA
QTG54_000377	Sm_t00000380-RA
QTG54_000378	Sm_t00000381-RA
QTG54_000379	Sm_t00000382-RA
QTG54_000380	Sm_t00000383-RA
QTG54_000381	Sm_t00000384-RA
QTG54_000382	Sm_t00000385-RA
QTG54_000383	Sm_t00000389-RA
QTG54_000384	Sm_t00000390-RA
QTG54_000385	Sm_t00000391-RA
QTG54_000386	Sm_t00000392-RA
QTG54_000387	Sm_t00000393-RA
QTG54_000388	Sm_t00000394-RA
QTG54_000389	Sm_t00000395-RA
QTG54_000390	Sm_t00000396-RA
QTG54_000391	Sm_t00000397-RA
QTG54_000392	Sm_t00000398-RA
QTG54_000393	Sm_t00000399-RA
QTG54_000394	Sm_t00000400-RA
QTG54_000395	Sm_t00000401-RA
QTG54_000396	Sm_t00000402-RA
QTG54_000397	Sm_t00000403-RA
QTG54_000398	Sm_t00000404-RA
QTG54_000399	Sm_t00000405-RA
QTG54_000400	Sm_t00000406-RA
QTG54_000401	Sm_t00000407-RA
QTG54_000402	Sm_t00000408-RA
QTG54_000403	Sm_t00000409-RA
QTG54_000404	Sm_t00000410-RA
QTG54_000405	Sm_t00000411-RA
QTG54_000406	Sm_t00000412-RA
QTG54_000407	Sm_t00000413-RA
QTG54_000408	Sm_t00000414-RA
QTG54_000409	Sm_t00000415-RA
QTG54_000410	Sm_t00000416-RA
QTG54_000411	Sm_t00000417-RA
QTG54_000412	Sm_t00000418-RA
QTG54_000413	Sm_t00000419-RA
QTG54_000414	Sm_t00000420-RA
QTG54_000415	Sm_t00000421-RA
QTG54_000416	Sm_t00000422-RA
QTG54_000417	Sm_t00000423-RA
QTG54_000418	Sm_t00000424-RA
QTG54_000419	Sm_t00000425-RA
QTG54_000420	Sm_t00000426-RA
QTG54_000421	Sm_t00000427-RA
QTG54_000422	Sm_t00000428-RA
QTG54_000423	Sm_t00000429-RA
QTG54_000424	Sm_t00000430-RA
QTG54_000425	Sm_t00000431-RA
QTG54_000426	Sm_t00000432-RA
QTG54_000427	Sm_t00000433-RA
QTG54_000428	Sm_t00000434-RA
QTG54_000429	Sm_t00000435-RA
QTG54_000430	Sm_t00000436-RA
QTG54_000431	Sm_t00000437-RA
QTG54_000432	Sm_t00000438-RA
QTG54_000433	Sm_t00000439-RA
QTG54_000434	Sm_t00000440-RA
QTG54_000435	Sm_t00000441-RA
QTG54_000436	Sm_t00000444-RA
QTG54_000437	Sm_t00000445-RA
QTG54_000438	Sm_t00000446-RA
QTG54_000439	Sm_t00000447-RA
QTG54_000440	Sm_t00000448-RA
QTG54_000441	Sm_t00000449-RA
QTG54_000442	Sm_t00000450-RA
QTG54_000443	Sm_t00000451-RA
QTG54_000444	Sm_t00000452-RA
QTG54_000445	Sm_t00000453-RA
QTG54_000446	Sm_t00000454-RA
QTG54_000447	Sm_t00000455-RA
QTG54_000448	Sm_t00000456-RA
QTG54_000449	Sm_t00000457-RA
QTG54_000450	Sm_t00000458-RA
QTG54_000451	Sm_t00000459-RA
QTG54_000452	Sm_t00000460-RA
QTG54_000453	Sm_t00000461-RA
QTG54_000454	Sm_t00000462-RA
QTG54_000455	Sm_t00000463-RA
QTG54_000456	Sm_t00000464-RA
QTG54_000457	Sm_t00000465-RA
QTG54_000458	Sm_t00000466-RA
QTG54_000459	Sm_t00000467-RA
QTG54_000460	Sm_t00000468-RA
QTG54_000461	Sm_t00000469-RA
QTG54_000462	Sm_t00000470-RA
QTG54_000463	Sm_t00000471-RA
QTG54_000464	Sm_t00000472-RA
QTG54_000465	Sm_t00000473-RA
QTG54_000466	Sm_t00000474-RA
QTG54_000467	Sm_t00000475-RA
QTG54_000468	Sm_t00000476-RA
QTG54_000469	Sm_t00000477-RA
QTG54_000470	Sm_t00000478-RA
QTG54_000471	Sm_t00000479-RA
QTG54_000472	Sm_t00000480-RA
QTG54_000473	Sm_t00000481-RA
QTG54_000474	Sm_t00000482-RA
QTG54_000475	Sm_t00000483-RA
QTG54_000476	Sm_t00000484-RA
QTG54_000477	Sm_t00000485-RA
QTG54_000478	Sm_t00000486-RA
QTG54_000479	Sm_t00000487-RA
QTG54_000480	Sm_t00000488-RA
QTG54_000481	Sm_t00000489-RA
QTG54_000482	Sm_t00000490-RA
QTG54_000483	Sm_t00000491-RA
QTG54_000484	Sm_t00000492-RA
QTG54_000485	Sm_t00000493-RA
QTG54_000486	Sm_t00000494-RA
QTG54_000487	Sm_t00000495-RA
QTG54_000488	Sm_t00000496-RA
QTG54_000489	Sm_t00000497-RA
QTG54_000490	Sm_t00000498-RA
QTG54_000491	Sm_t00000499-RA
QTG54_000492	Sm_t00000500-RA
QTG54_000493	Sm_t00000501-RA
QTG54_000494	Sm_t00000502-RA
QTG54_000495	Sm_t00000503-RA
QTG54_000496	Sm_t00000504-RA
QTG54_000497	Sm_t00000505-RA
QTG54_000498	Sm_t00000506-RA
QTG54_000499	Sm_t00000507-RA
QTG54_000500	Sm_t00000508-RA
QTG54_000501	Sm_t00000509-RA
QTG54_000502	Sm_t00000510-RA
QTG54_000503	Sm_t00000511-RA
QTG54_000504	Sm_t00000512-RA
QTG54_000505	Sm_t00000513-RA
QTG54_000506	Sm_t00000514-RA
QTG54_000507	Sm_t00000515-RA
QTG54_000508	Sm_t00000516-RA
QTG54_000509	Sm_t00000517-RA
QTG54_000510	Sm_t00000518-RA
QTG54_000511	Sm_t00000519-RA
QTG54_000512	Sm_t00000520-RA
QTG54_000513	Sm_t00000521-RA
QTG54_000514	Sm_t00000522-RA
QTG54_000515	Sm_t00000523-RA
QTG54_000516	Sm_t00000525-RA
QTG54_000517	Sm_t00000526-RA
QTG54_000518	Sm_t00000527-RA
QTG54_000519	Sm_t00000528-RA
QTG54_000520	Sm_t00000529-RA
QTG54_000521	Sm_t00000530-RA
QTG54_000522	Sm_t00000531-RA
QTG54_000523	Sm_t00000532-RA
QTG54_000524	Sm_t00000533-RA
QTG54_000525	Sm_t00000534-RA
QTG54_000526	Sm_t00000535-RA
QTG54_000527	Sm_t00000536-RA
QTG54_000528	Sm_t00000537-RA
QTG54_000529	Sm_t00000538-RA
QTG54_000530	Sm_t00000539-RA
QTG54_000531	Sm_t00000540-RA
QTG54_000532	Sm_t00000541-RA
QTG54_000533	Sm_t00000542-RA
QTG54_000534	Sm_t00000543-RA
QTG54_000535	Sm_t00000544-RA
QTG54_000536	Sm_t00000545-RA
QTG54_000537	Sm_t00000546-RA
QTG54_000538	Sm_t00000547-RA
QTG54_000539	Sm_t00000548-RA
QTG54_000540	Sm_t00000549-RA
QTG54_000541	Sm_t00000550-RA
QTG54_000542	Sm_t00000552-RA
QTG54_000543	Sm_t00000553-RA
QTG54_000544	Sm_t00000554-RA
QTG54_000545	Sm_t00000555-RA
QTG54_000546	Sm_t00000556-RA
QTG54_000547	Sm_t00000557-RA
QTG54_000548	Sm_t00000558-RA
