baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00006558-RA	149.598202588652	-26.1690878195586	1.7677202817246	-14.4729276934011	1.79659245161511e-47	2.15159404134768e-46
Sm_t00017228-RA	0.605504695868572	-16.1206631866448	3.56728101550363	-4.35504327220811	1.33040634316098e-05	3.13322261178149e-05
Sm_t00017876-RA	412.302345184186	-14.0229622966339	1.94011463074903	-6.92637542321186	4.31759741096683e-12	1.4910537135978e-11
Sm_t00014125-RA	340.080371175671	-13.7451679100362	1.57064521257508	-8.37882916184487	5.34567991885576e-17	2.29918507372918e-16
Sm_t00014961-RA	543.07957032397	-13.4630159786361	1.19353669757781	-10.789794737582	3.84647687567187e-27	2.43036529213779e-26
Sm_t00008831-RA	232.470120753721	-13.187763386799	1.31226808131046	-9.60380242900793	7.7048361616062e-22	4.00264112797604e-21
Sm_t00004944-RA	782.988407356392	-13.1277200799067	1.02943203412646	-12.1841167402082	3.77723375594375e-34	3.03792136821181e-33
Sm_t00016364-RA	415.0172065862	-13.0756018276591	1.19496873843567	-10.4526599114304	1.42472352893489e-25	8.48326244600516e-25
Sm_t00006825-RA	204.297720701186	-13.0134483218727	1.19125118976249	-10.4331046455036	1.75072650415595e-25	1.03769889259974e-24
Sm_t00018098-RA	189.677022229971	-12.9087592717056	1.19241601977996	-10.3351171632026	4.88814391930456e-25	2.83971501050857e-24
Sm_t00016642-RA	306.187566409627	-12.6325781193127	1.19358856229001	-10.0935770498657	5.89802334367444e-24	3.30297103707558e-23
Sm_t00014311-RA	280.07688104562	-12.5028730284304	1.48184666787008	-8.04258179124598	8.79651347789131e-16	3.59021477351508e-15
Sm_t00015502-RA	263.41626828039	-12.4180073061886	1.19160766184006	-9.93028803449974	3.07366379765964e-23	1.67912013910832e-22
Sm_t00003637-RA	232.044491603314	-12.230195783456	1.19235445213834	-9.76655537501605	1.56688988145323e-22	8.323672705676e-22
Sm_t00011757-RA	417.844891923071	-12.2246987620484	1.03351985933247	-11.2621916811219	2.01679557318874e-29	1.37255493105447e-28
Sm_t00007606-RA	1006.36755894409	-12.1806865694281	0.665738665613129	-17.4177754250593	6.04833999790849e-68	1.23936118022439e-66
Sm_t00010540-RA	107.541143582968	-12.0847868800317	1.20414513957465	-9.5501667548929	1.29487695144606e-21	6.67975184755096e-21
Sm_t00004448-RA	106.365204047119	-12.061748509775	1.20301434456968	-9.5399930695592	1.42841860325312e-21	7.35520560641975e-21
Sm_t00021039-RA	103.108077047189	-11.9886577859783	1.19944879100937	-9.50741529897389	1.9545854786649e-21	9.98264180875692e-21
Sm_t00008498-RA	862.22072199448	-11.937316955014	0.665597382911946	-17.0558317181903	3.16338030754056e-65	6.04358993140725e-64
Sm_t00015513-RA	6692.77228226891	-11.8990231944068	0.312713279868614	-36.1801814082228	1.24795710519501e-286	8.45915244185384e-284
Sm_t00001936-RA	180.321411564729	-11.8616552834535	1.19429237474669	-9.44212281841388	3.65302253963799e-21	1.8484359497374e-20
Sm_t00004660-RA	173.182621220875	-11.8007444273665	1.19673165512781	-9.37197940683593	7.11848098532974e-21	3.55945053931537e-20
Sm_t00009994-RA	457.945136165736	-11.7606311117335	0.848039273989444	-13.1781999425095	1.17152800359725e-39	1.11783297009904e-38
Sm_t00005069-RA	716.504126263971	-11.6830452424745	0.66451869859268	-16.7008772905533	1.29151808969931e-62	2.30622397766539e-61
Sm_t00004686-RA	157.528618096778	-11.6654052727674	1.20248465794522	-9.21459180335937	3.12464900607749e-20	1.52814724551195e-19
Sm_t00004441-RA	79.5830599218404	-11.6429774371775	1.21283783110399	-9.11744105731919	7.69190064273839e-20	3.71570548152351e-19
Sm_t00008497-RA	154.59184645945	-11.6374944001517	1.19348329626111	-9.26070304861107	2.03090504822118e-20	9.97267949787197e-20
Sm_t00004754-RA	79.4419372202975	-11.6146227500053	1.7952864437825	-6.14365623279975	8.06432752208233e-10	2.46230800340914e-09
Sm_t00000706-RA	148.716315903089	-11.5885359663322	1.19309269400507	-9.22269998100034	2.89711546873724e-20	1.41891672639368e-19
Sm_t00007437-RA	262.24047352748	-11.5409927658522	1.03438221310165	-10.5918224686019	3.25197962940155e-26	1.98587556035455e-25
Sm_t00006828-RA	71.471846939167	-11.4879716749913	1.20681801228736	-9.03447873994378	1.64785900228109e-19	7.85723653704426e-19
Sm_t00015501-RA	497.35803266951	-11.4749246853903	0.739171909986739	-14.7326008175631	3.98085513255117e-49	5.01931332412293e-48
Sm_t00015514-RA	8040.00323887161	-11.4662417062502	0.327357227309976	-33.2396562485139	2.87997243427529e-242	9.76080257424581e-240
Sm_t00004451-RA	69.7597368819829	-11.4546319812653	1.20470828571019	-9.02262573454245	1.83634060385717e-19	8.73137706873275e-19
Sm_t00007672-RA	1176.50406910014	-11.3983994049513	0.481386679476518	-22.4630216538404	9.54698677690995e-112	4.77236690033971e-110
Sm_t00009875-RA	305.215502966984	-11.3719267014735	1.42885652524929	-7.54934208638727	4.37462448908779e-14	1.66029981169276e-13
Sm_t00004187-RA	466.26491961994	-11.3570434605682	0.739897102630546	-14.5588399012113	5.13213438110509e-48	6.22988174944175e-47
Sm_t00012261-RA	125.600670036135	-11.3375064515445	1.20231625336772	-8.94315985617467	3.78198071458393e-19	1.77680746297031e-18
Sm_t00016639-RA	124.577775539686	-11.3190868508023	1.49937018809185	-7.15906380962723	8.12298723284476e-13	2.89977125864309e-12
Sm_t00004447-RA	216.029412676545	-11.2704729268805	1.04515966971039	-10.2237708137374	1.55184140536207e-24	8.87230244779543e-24
Sm_t00012635-RA	3821.83737281982	-11.2432185451317	0.310478110778435	-34.3284056914971	2.95832735825361e-258	1.25329538532414e-255
Sm_t00017083-RA	742.074522328595	-11.2366745435465	0.573102148730697	-18.5859965228498	4.17178834971502e-77	1.03810756790412e-75
Sm_t00001739-RA	59.209565836952	-11.2203262554123	1.20725811095826	-8.80948834294475	1.2571836039156e-18	5.78447823838005e-18
Sm_t00019142-RA	57.8432853699053	-11.1833587365927	2.98552831562758	-3.54991064097977	0.000385361933652763	0.000810316829343557
Sm_t00001549-RA	199.404362864731	-11.1334986092944	1.03410278268042	-10.2006287827138	1.96992974638503e-24	1.12172142077422e-23
Sm_t00018492-RA	288.146750755751	-11.0895246711673	0.85141767983407	-12.3376868016348	5.67633398981276e-35	4.72451649269976e-34
Sm_t00002615-RA	100.549796228387	-11.0127280349172	1.19797478668486	-8.70446369223994	3.19079964355995e-18	1.44302920156573e-17
