Gene	Day49	Day56	Day72	Day91	Day126	Day189
Sm_g00000021	NA	-2.21091784204395	-2.77470592216514	-2.96965876519026	-2.03918387336557	NA
Sm_g00000022	-2.43836551240555	-1.31977567844496	-2.13347467219375	-1.79467801275156	-1.41160073111107	NA
Sm_g00000026	NA	NA	NA	NA	NA	2.8550012826024
Sm_g00000027	NA	NA	NA	-1.5507847686273	NA	NA
Sm_g00000028	NA	NA	NA	NA	0.91496902379719	NA
Sm_g00000029	-2.12789897628961	-1.00345461532656	-1.57548597061255	-1.81502224343371	-2.16859861721707	-2.08184954967579
Sm_g00000030	-3.37510630767603	-1.6587872979317	-3.86712128217587	-3.37330812068441	-3.45445512194078	NA
Sm_g00000031	3.79551092795043	3.23558942728773	3.68647398124125	3.61965394726798	4.00376538438431	4.45821744042868
Sm_g00000034	-3.67163548157568	-3.26714650826515	-3.61205558731232	-3.42716134373333	-2.86148797493568	NA
Sm_g00000036	-4.53043120918031	-3.37491020388328	-3.83615962307446	-3.22234424239561	-2.24533220186463	-2.15100779315527
Sm_g00000037	-1.42826465832189	-1.20181976006786	NA	-1.03776629330007	-1.35435671306581	-1.55742813862533
Sm_g00000039	2.75531041628026	NA	NA	NA	2.79617511564831	4.51294158158679
Sm_g00000040	-1.20131130375741	NA	-1.06725755386752	-1.49526520245007	-1.65923242636503	-2.00913964007741
Sm_g00000041	NA	NA	NA	1.15851439684898	1.28845354741761	1.92083128051297
Sm_g00000042	NA	NA	NA	NA	NA	-2.05592650135006
Sm_g00000043	-6.98397731698303	-4.60586735453238	-5.83275812211305	-6.50598574865316	-7.87928721434588	-6.30296096148218
Sm_g00000044	-1.88041016456464	-1.40306454631645	-1.51109136486266	-1.68023696308177	-2.05900786534527	-1.95085431792145
Sm_g00000045	NA	NA	NA	NA	NA	8.20604691166401
Sm_g00000046	-1.56667861813473	-1.41229219902488	-1.84616885504547	-1.54746104583746	-1.77695430790008	NA
Sm_g00000048	NA	NA	NA	NA	NA	1.81935580510164
Sm_g00000050	-1.74938323927251	-2.33430796349709	-2.07251400911426	-2.08857146217768	-1.92006218770026	-1.74485539162197
Sm_g00000051	1.87743861142024	2.25370756704537	2.45966363509979	1.98476660222901	1.57339059665879	1.14609984150676
Sm_g00000052	-3.70180255560341	-4.74337478058257	-4.64447316885531	-4.73505553679146	-7.26775192306388	NA
Sm_g00000053	NA	NA	NA	NA	-1.24622679246615	NA
Sm_g00000054	2.06092075118156	2.38755077379944	2.59738649214048	2.3377946917647	2.1284463104263	1.85468266422753
Sm_g00000059	1.2185327811607	1.04180485372738	1.38313832670144	1.37942104333634	1.72724730837292	1.63324313814657
Sm_g00000060	4.02915064493128	2.46943005740837	2.96339576928634	3.27140565821522	3.70847595679512	3.27198105194374
Sm_g00000061	4.39172450506582	3.06692392997256	3.23186156817959	3.38700780467843	3.85327619091971	3.87110895043832
Sm_g00000063	NA	NA	-2.61032674186993	NA	NA	NA
Sm_g00000064	0.940566153352221	1.40199457578104	1.61454999517934	1.52303693019098	1.57365815439132	1.53800366253001
Sm_g00000066	3.38144969666709	1.68308167189114	1.71351533778554	2.48686386465257	2.38749099316731	1.85069636579795
Sm_g00000067	1.80596134895451	2.70908029154252	1.8984402626214	2.34643160220528	2.7262656451841	2.9537014226165
Sm_g00000068	2.11303335267015	2.11518039789912	1.74748910475669	1.63075142751803	1.58494276443072	1.4024595128305
Sm_g00000069	-1.87357959886296	NA	-1.25959595840237	-1.51645278895404	-1.42485274100842	NA
Sm_g00000070	-3.13933643332116	-3.41076650062268	-4.07784479191576	-3.90622634027062	-3.71888995490666	-3.64990348892199
Sm_g00000071	-1.83890865321188	-2.69558836407835	-2.18247157227207	-2.27983118964496	-2.8864431825801	-1.87566485099473
Sm_g00000074	1.60218971123833	1.83156216778984	1.81176767044707	1.74331016291627	1.75459272377488	1.57742413635191
Sm_g00000075	4.0274809166494	2.21006710535438	2.59350122510294	2.79660493129269	3.29440144399761	3.44371851323872
Sm_g00000076	NA	NA	NA	NA	NA	1.09028298362136
Sm_g00000078	3.45572629966087	3.76572514699272	3.97766925545348	3.90317585179319	4.59934217047797	5.54979692770023
Sm_g00000080	3.46319696567675	3.73754434278971	2.91461918268944	2.5975437412304	2.06425258712959	1.66304773444168
Sm_g00000081	1.01237427076329	1.09718121076238	1.45955723451914	1.15333288936579	1.15344709662806	NA
Sm_g00000083	2.77304441464519	2.71769341139387	2.95860316031194	3.01293465959031	2.88295206436479	3.00361861712701
