baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00006558-RA	149.598202588652	-15.7134999329838	2.06490100626156	-7.32650131270629	2.36238881541932e-13	2.22405782589421e-10
Sm_t00017228-RA	0.605504695868572	-15.3665885021929	3.69536574123833	-4.00003397153309	6.33333914481235e-05	0.00583286767108642
Sm_t00012499-RA	4.5667522479587	-5.95764449757908	1.47793168885904	-3.63524548399578	0.000277716057456521	0.0191307980067407
Sm_t00003863-RA	1042.33968459303	-3.67619404621495	0.29247741314813	-10.5690009117024	4.14890912808445e-26	3.51537070422595e-22
Sm_t00003861-RA	623.830298628366	-3.64445079092619	0.355523011759924	-8.60549300530836	7.59894342065297e-18	1.60964619007981e-14
Sm_t00012884-RA	216.186938683586	-3.45518931255773	0.448471405203972	-6.39993827756379	1.55439774524389e-10	7.18217922696285e-08
Sm_t00011201-RA	133.510502383798	-3.34681077210996	0.482353189856604	-5.72570230733004	1.03006711368245e-08	2.68546420130197e-06
Sm_t00012890-RA	349.378813780579	-3.32499634055149	0.397367882661009	-6.89536437168213	5.37269118927951e-12	3.64182499574122e-09
Sm_t00004173-RA	15.6953971103889	-3.30388185104048	0.710486787895009	-3.8267873482853	0.000129826577932198	0.0104763866173287
Sm_t00016999-RA	294.286756210228	-3.29769320133	0.724142983810754	-3.74607399640141	0.000179623627687854	0.0136497847300376
Sm_t00010397-RA	148.098873387294	-3.21074763832718	0.618793621857953	-4.24333339190418	2.20223887268613e-05	0.00243422476702123
Sm_t00005684-RA	979.933298243875	-3.17207587540259	0.250274017841812	-10.3369734409977	4.79440549146913e-25	2.70819984861453e-21
Sm_t00007424-RA	1171.53797987205	-3.02039920725855	0.277967041723269	-8.76146751845176	1.92724703730545e-18	5.96086092375272e-15
Sm_t00008514-RA	960.232190138378	-2.96688651850556	0.293175084571688	-8.12445069124941	4.49392970174568e-16	6.92310297507112e-13
Sm_t00017033-RA	247.315184571385	-2.92983394084101	0.595231915432609	-3.93936191935677	8.16986066134806e-05	0.00736417333868108
Sm_t00011169-RA	5746.27866304693	-2.87487133755298	0.264146332878781	-8.66894994375645	4.36123627004464e-18	1.05579299760252e-14
Sm_t00003860-RA	1911.59522650775	-2.8156897532284	0.254900357808556	-8.75122252634802	2.11053732695127e-18	5.96086092375272e-15
Sm_t00006063-RA	233.366858608352	-2.76701282491274	0.502813805968544	-4.33960404231472	1.42739674812907e-05	0.00166818381336518
Sm_t00018650-RA	34.0783653776424	-2.73277754922341	0.468336348329065	-4.58597236128751	4.51878381808942e-06	0.000607740560169392
Sm_t00009604-RA	4537.59027893731	-2.6930333322136	0.187547881544314	-11.2399741061085	2.59458440663212e-29	4.39678273547879e-25
Sm_t00003862-RA	4760.98211941706	-2.69003038568678	0.258093862912625	-8.15606524669444	3.46115518717308e-16	5.86527358018351e-13
Sm_t00008080-RA	208.489723525943	-2.68818112736383	0.630410187552543	-3.33621056399653	0.000849288116944515	0.0470327987900057
Sm_t00011168-RA	483.826841961481	-2.67001862286096	0.260557085016176	-8.00215669718409	1.22258661607917e-15	1.59368867662135e-12
